PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
Yearsplit,NDP,,,,,,2018,All,,,,,1
Yearsplit,NDP,,,,,,2019,All,,,,,1
Yearsplit,NDP,,,,,,2020,All,,,,,1
Yearsplit,NDP,,,,,,2021,All,,,,,1
Yearsplit,NDP,,,,,,2022,All,,,,,1
Yearsplit,NDP,,,,,,2023,All,,,,,1
Yearsplit,NDP,,,,,,2024,All,,,,,1
Yearsplit,NDP,,,,,,2025,All,,,,,1
Yearsplit,NDP,,,,,,2026,All,,,,,1
Yearsplit,NDP,,,,,,2027,All,,,,,1
Yearsplit,NDP,,,,,,2028,All,,,,,1
Yearsplit,NDP,,,,,,2029,All,,,,,1
Yearsplit,NDP,,,,,,2030,All,,,,,1
Yearsplit,NDP,,,,,,2031,All,,,,,1
Yearsplit,NDP,,,,,,2032,All,,,,,1
Yearsplit,NDP,,,,,,2033,All,,,,,1
Yearsplit,NDP,,,,,,2034,All,,,,,1
Yearsplit,NDP,,,,,,2035,All,,,,,1
Yearsplit,NDP,,,,,,2036,All,,,,,1
Yearsplit,NDP,,,,,,2037,All,,,,,1
Yearsplit,NDP,,,,,,2038,All,,,,,1
Yearsplit,NDP,,,,,,2039,All,,,,,1
Yearsplit,NDP,,,,,,2040,All,,,,,1
Yearsplit,NDP,,,,,,2041,All,,,,,1
Yearsplit,NDP,,,,,,2042,All,,,,,1
Yearsplit,NDP,,,,,,2043,All,,,,,1
Yearsplit,NDP,,,,,,2044,All,,,,,1
Yearsplit,NDP,,,,,,2045,All,,,,,1
Yearsplit,NDP,,,,,,2046,All,,,,,1
Yearsplit,NDP,,,,,,2047,All,,,,,1
Yearsplit,NDP,,,,,,2048,All,,,,,1
Yearsplit,NDP,,,,,,2049,All,,,,,1
Yearsplit,NDP,,,,,,2050,All,,,,,1
